sample,n_unique_pe,n_unm_both_pe,n_unm1_pe,n_unm2_pe
005301a4-1151-4421-9c73-961a7b628b63_gdc_realn_rehead,91580885,950827,782275,2563499
01d7c202-af14-4720-92ad-6c9ab5273e5b_gdc_realn_rehead,35715236,77486,252744,1015800
02b776d9-d5eb-4b34-9854-82d4cfae4751_gdc_realn_rehead,48855752,812655,442081,1041584
0330e749-318e-4de9-9c99-1443594b6360_gdc_realn_rehead,51980727,175504,545379,1147135
033f395d-f27b-4199-a16f-6bd6b18449a4_gdc_realn_rehead,62156224,832168,657735,2396536
03e07184-68da-4e59-abb6-c5b6526c990c_gdc_realn_rehead,62204278,1456740,506167,1283342
053bca4b-74e4-4fba-bd0d-7b2c2d678a66_gdc_realn_rehead,48336052,344083,469186,2431041
05856688-714a-446b-8652-d38e94d7ae93_gdc_realn_rehead,117594981,956914,629662,2347349
058ef2a4-a1f9-40ea-ad44-b4e00dc5b014_gdc_realn_rehead,60236589,396036,414055,1059451
0601965e-336a-474e-85c0-398a3c4d7782_gdc_realn_rehead,65503715,1072954,369787,1303024
06904d76-38ca-4c2a-8699-a57aacce0ec2_gdc_realn_rehead,91971289,406891,550800,1554511
0699db2f-847c-4944-8b5e-2f2a196d5707_gdc_realn_rehead,31788293,90517,356230,650968
077dd646-bab9-4a29-8994-105e1a9f6def_gdc_realn_rehead,56738796,645055,778492,1753783
07c72ab1-765a-4cad-a8f5-b219b1df8089_gdc_realn_rehead,47642536,217104,332236,912141
07f95427-39be-4884-b539-c9f3e329bebc_gdc_realn_rehead,38118198,136554,275261,598255
0813f7de-f80a-488b-a275-e4636629aca3_gdc_realn_rehead,102582851,966987,688889,1745334
086e890b-cdc3-455e-84a8-66dbfa3aae11_gdc_realn_rehead,102282043,835510,677349,1514776
088964d1-025c-4080-9cc9-11a233abcd7f_gdc_realn_rehead,36934921,207449,458389,714059
091d8ab7-7cad-4921-b2c2-4304ed611fc9_gdc_realn_rehead,34195820,179560,290521,821941
09646946-fcec-44b7-8b26-a7ce89012ab1_gdc_realn_rehead,98596019,4895727,1029598,1516533
0a18b687-11be-427b-82a9-b11d80b0ea3d_gdc_realn_rehead,72640175,538070,482962,2569037
0a8e1c17-5ac8-4509-9741-ec1c59c5cebc_gdc_realn_rehead,47295735,393946,373764,907108
0d3c1f7c-8aab-4cdb-a652-d873b630de45_gdc_realn_rehead,47323574,110567,383541,1245439
0d6e7057-6aa8-46ff-9e9b-e0ba237eb19b_gdc_realn_rehead,51488456,430812,325891,1254548
0da55f74-bd6d-4b13-88db-20863165b06b_gdc_realn_rehead,32063135,95934,399118,1327468
0daa1a31-b86c-4353-b403-59db8ebcb851_gdc_realn_rehead,42233522,107211,271397,578939
0ddd82c2-8cdb-4ec0-9c5f-3321f312e962_gdc_realn_rehead,92627914,460436,570763,1341463
0e8babe1-4c15-4d9c-a26b-2ad839cef580_gdc_realn_rehead,47373570,1261481,336979,976964
0ea510ed-4e24-4c5b-ab49-cfef85aedeab_gdc_realn_rehead,130560940,657650,827585,2199007
0f077bd4-3907-4a81-a3df-0c1f5f32ff47_gdc_realn_rehead,83513752,383366,1170302,2266909
100406a4-d12c-4ae5-b9ed-b6968f02dbe6_gdc_realn_rehead,87711968,774631,740330,1919756
108339cb-e827-4340-b52d-9b3cbb4e5165_gdc_realn_rehead,41970225,143176,498164,1485543
10e0e7f3-3fc1-43f7-b7fc-7bb6a375d060_gdc_realn_rehead,40214462,188104,309614,980008
10e22941-6475-4f0b-8288-4e23e58864a6_gdc_realn_rehead,69420648,230579,561970,1612885
1108c8ca-9630-44b9-ab41-f56286b4766f_gdc_realn_rehead,82559754,1233500,674456,2071547
1132c05d-00f1-4c3b-a0ed-06a735c82401_gdc_realn_rehead,40054289,235146,395101,1204376
1198fd4b-6d38-4cb3-93b1-9a3b424fc339_gdc_realn_rehead,90918186,623577,758346,1654881
11be0d17-30b2-45ce-8e14-432e0c9a628f_gdc_realn_rehead,42206171,764636,756033,1215511
1228fb38-e5a9-4521-ad83-a67977908527_gdc_realn_rehead,34988307,601069,305299,1306291
12b39ffe-9ea7-421a-af7c-2558fa992d78_gdc_realn_rehead,110697668,1427358,1185403,3183338
13ed08ee-d7e8-43bd-9ee1-7850140e8210_gdc_realn_rehead,55757866,285908,527236,1608701
14e63f70-0dba-435f-a747-17239a97100f_gdc_realn_rehead,112889167,1761571,1312590,4028388
14fe760a-b84e-4d6e-ab4f-56fbd5cf93ac_gdc_realn_rehead,81745427,255990,446932,1271003
15f9814d-1a98-4579-9e59-9c4de59ffe01_gdc_realn_rehead,38182684,861833,217100,513381
1642360c-3217-42ce-b1c3-8a18c77a26be_gdc_realn_rehead,33033327,151639,317348,862735
169ff044-7e80-475a-8834-bfdb10180992_gdc_realn_rehead,95012235,366429,644696,1829539
170eae5f-f32e-45e5-beda-848a84ad2fb4_gdc_realn_rehead,65456583,217291,923034,1948764
17579b7c-6ebd-4da8-9df5-004a69a7ef3d_gdc_realn_rehead,39742450,209775,273690,551354
1774634c-c5f9-46b4-bd3d-01c9e520e341_gdc_realn_rehead,55760632,3197376,362032,860099
17d3f67c-7d54-4866-88d5-96272a8b8bee_gdc_realn_rehead,37001172,259496,296151,1060035
1845d6cd-3528-4c1f-819d-c1c39e354dea_gdc_realn_rehead,53418316,262225,483408,1377395
18b2e6a9-0213-410f-ab5d-10e839b4d4ee_gdc_realn_rehead,63812347,411307,551740,2410498
18b7d94a-8660-46b8-8681-323fdfee2826_gdc_realn_rehead,43529981,113768,309454,657466
19253042-25b5-469d-aa1b-4822f6dd92db_gdc_realn_rehead,109000784,908984,1199241,2873926
19b05e39-15f0-4a05-9df4-b0ae1864494a_gdc_realn_rehead,46232246,134610,294329,934556
1b5ccbbc-977d-4022-9420-30a51dd716bd_gdc_realn_rehead,77334485,2466550,1180851,2253847
1b9642cd-d963-4251-a929-b499516a3f82_gdc_realn_rehead,45687686,156811,370432,968889
1bdf64ba-0881-4ab3-a2e6-e8c38d925e45_gdc_realn_rehead,55088390,226482,693979,2013787
1bfdc454-759f-43b2-9c8e-7298efe412fc_gdc_realn_rehead,62863214,454810,652411,2193943
1c0e230e-5838-4cb1-9f48-a5b5173dfd3e_gdc_realn_rehead,42331573,244232,272788,880555
1efde3b7-5fd9-4fee-bc1f-9cd9f5a3221d_gdc_realn_rehead,50687569,486976,452661,971636
1f3d2751-c60c-4c2f-bb9f-cc35c05903ab_gdc_realn_rehead,88637295,482197,502448,1473943
201beb6e-8c73-432e-aafd-893e44ad6163_gdc_realn_rehead,57754113,432733,401745,1816049
201d192c-9f30-445a-a0ac-f9534aab9902_gdc_realn_rehead,58948002,183650,569235,996701
20201e84-9484-4a28-9af6-d229f45c6703_gdc_realn_rehead,44743049,256776,260956,648402
208ee929-9039-43fb-8177-11631c297103_gdc_realn_rehead,95856033,433407,592579,1461446
21300d10-0c92-49e8-a2c9-f444f3010303_gdc_realn_rehead,77807923,1952172,679796,3327699
218497eb-3c64-4e96-bd70-c2cf3d6d9877_gdc_realn_rehead,25619406,65186,236868,644947
21d1dc59-02bf-46bc-ac59-5ba6a6883595_gdc_realn_rehead,66531652,359537,388269,1217768
21f22a44-fb3b-422f-8d6f-934e53ec5aec_gdc_realn_rehead,41949501,398429,327106,942105
21fb3492-7e9e-466f-9d98-d5394af5d2d2_gdc_realn_rehead,41121279,210517,257578,1549669
230fd3e9-44a2-4391-825d-143cba8bcf9a_gdc_realn_rehead,93650398,1240261,330319,3528044
23221ebb-100c-4e28-bf4e-0f164a8ed50a_gdc_realn_rehead,96253894,481152,590562,1309783
233446a9-2cbf-4395-9fb4-0660276d9885_gdc_realn_rehead,95719700,42804329,530629,765511
233d824a-5818-41ec-adc9-8464ddc024c1_gdc_realn_rehead,77298647,458071,550328,7845453
2371f879-e2a1-4487-ba2d-a14d40981ace_gdc_realn_rehead,42334775,437717,242650,517329
23e069a4-9d44-442e-8d49-eb088fb9a187_gdc_realn_rehead,92508017,586132,388060,3460602
24266bd0-b5ba-4168-b9f2-484c74d0b795_gdc_realn_rehead,39748213,376033,280675,970659
250289ec-46a2-4ce2-84bc-0b6168a1f8b0_gdc_realn_rehead,58575715,757177,604448,1718177
25deadd5-883a-4e88-8016-e337c1cec641_gdc_realn_rehead,44661776,150262,471680,846494
25fc67f7-eb4f-4a80-b5a8-a89c6e5a9292_gdc_realn_rehead,46636798,273699,335788,1118452
267d0d2e-32c6-475b-b4a6-c3c9ecc57a4d_gdc_realn_rehead,90407964,1581020,636541,2318874
269f6d2a-87dc-4fd8-af61-2ab4e6e06728_gdc_realn_rehead,32064721,176464,328331,944484
284cdeba-e8fb-4e5d-960a-dc45815fd3bd_gdc_realn_rehead,29841727,37772,209377,820460
28d806cd-95c7-4dfb-a980-1a482bbdf285_gdc_realn_rehead,43180796,194980,364109,888355
291c515a-0c08-4f00-ad1a-13b6ec6fb982_gdc_realn_rehead,74466308,3294220,909273,2097466
2950c941-f93f-4948-97f2-74cf6d5161de_gdc_realn_rehead,37157979,136275,459246,1392145
298d5de5-f66d-47db-8150-908ca70f6f86_gdc_realn_rehead,84587605,681005,421490,2951178
298f6a56-5a1d-4b35-bb8a-e670ea6a0ee9_gdc_realn_rehead,42884722,157080,349938,997690
29b33845-77da-4a4b-a6e7-7b4aa6a26393_gdc_realn_rehead,117263075,1745373,745026,1615685
29d635f0-3db9-4d3a-bae3-7e16de3b6bea_gdc_realn_rehead,82218854,477150,939846,2956551
2a694afb-c9d8-47da-91b1-563685fbdd70_gdc_realn_rehead,66792778,751350,1427784,2808825
2a8cf710-6197-4a1c-b7b3-97bbb975c715_gdc_realn_rehead,52302762,417384,325821,833389
2adbf2eb-6c1c-4624-91ce-86765f2219c5_gdc_realn_rehead,31370725,101329,685452,659696
2babb909-4d6a-4873-9010-0481cd9d7f67_gdc_realn_rehead,59979707,3226993,494777,891409
2c5bf985-e02f-4319-9060-03903d77629c_gdc_realn_rehead,29114542,170053,348604,980283
2c652ec1-ee07-4d63-bfb0-cbf9e4013717_gdc_realn_rehead,59734067,621095,405919,2154782
2c95ea97-62f0-4cdf-b5c2-e52f1dba1df7_gdc_realn_rehead,52317410,1440961,275092,704920
2ca0803b-71dc-4910-9307-dd5aeb5c8015_gdc_realn_rehead,63065342,400019,703082,2565838
2cfd1613-48d7-467e-99f6-cb93b233c019_gdc_realn_rehead,47136003,1013711,282261,653830
2d5e614b-ab16-4ff9-bb9a-0c1004890a77_gdc_realn_rehead,46567665,372540,521554,990566
2d75f728-595b-4489-af45-081055c80a90_gdc_realn_rehead,63045630,863539,525425,2549187
2e9d32f5-a015-4eb9-8284-3bbec9f97272_gdc_realn_rehead,68624570,830534,718063,2718173
2efe4617-99bc-4b18-9159-7739131c8aa9_gdc_realn_rehead,30304629,405426,295340,625180
2f3322db-f3cb-4a08-b81b-bba1703f55c1_gdc_realn_rehead,34373853,459929,218694,459094
2f973de3-769b-4ab3-8633-c1eb2f53a67f_gdc_realn_rehead,63217080,418932,708405,1273399
2f9b92f8-8c19-41e3-896c-42f383616055_gdc_realn_rehead,85043926,860018,600062,1748607
3001ec84-0cf6-478d-944d-31477f29682c_gdc_realn_rehead,53408730,940726,336281,1119021
303660c7-e51c-425d-9432-f59b6b427b41_gdc_realn_rehead,70152357,350875,562243,1892949
3053eba0-ea7d-4458-8d90-8529d9d9cd5b_gdc_realn_rehead,73617529,973426,443826,1343852
3072d901-49d8-4081-822b-0c028e9e28fa_gdc_realn_rehead,44292556,177506,311996,1001184
30adccfc-bb00-4b20-9579-2fd4db4cbd32_gdc_realn_rehead,60194824,462277,457249,1272533
3103782a-2847-4a2a-b31f-4e5ea2ed76b0_gdc_realn_rehead,56553980,300766,406120,1075077
319e9480-8717-4ccc-b906-2e42be7db976_gdc_realn_rehead,60521646,405380,693189,2144483
31e494ef-4885-4296-99df-d1583cff7a5c_gdc_realn_rehead,44965213,186871,289813,1223108
31e8213b-267f-48f4-b632-583c52927248_gdc_realn_rehead,74784022,1488761,687158,1496988
31f13ffe-59d7-4b49-89e2-020daf75b1ee_gdc_realn_rehead,66052045,357046,426170,1258233
3208ed34-81cc-4419-8bfe-310568b43c80_gdc_realn_rehead,30166563,124266,248276,517709
32b09cce-1d6a-44f1-8699-7cdf8d6e0fb3_gdc_realn_rehead,38587232,147483,316498,1038539
33cfa2ad-37ac-485c-b721-2da6885ce3f6_gdc_realn_rehead,51380411,352442,475240,1451878
344403b9-e960-4d21-8094-c64c6c21feac_gdc_realn_rehead,41255786,103998,207528,685838
345bf6c7-2b7c-4ff6-9edf-5eb579ffbe5d_gdc_realn_rehead,84579307,286712,617980,1362769
346dd6ea-76b5-4e01-926d-07832d3a76c4_gdc_realn_rehead,26087330,461411,187720,496309
35efed04-67eb-4cad-aa21-e1c0ce81db9d_gdc_realn_rehead,93846488,1203315,635931,1342038
368ddefd-8538-426b-9015-a3c7f3bb7850_gdc_realn_rehead,92369711,668153,1019542,2199778
377df6dd-af23-4337-8713-a5c4955b7d6f_gdc_realn_rehead,72364596,1075297,497384,1204438
3798177b-bd80-48b4-a937-c4d4464d482a_gdc_realn_rehead,37651151,427995,425562,783151
38d095ea-9002-42a5-a556-1c751b0405e9_gdc_realn_rehead,83126640,268122,599624,1792887
38dc8f73-a4ec-4f38-a612-11cf1faa1d8d_gdc_realn_rehead,42399098,498937,281812,611427
39360e12-b82e-423e-97fa-392cbd6cb971_gdc_realn_rehead,53000073,1018852,522775,1027708
39b27f76-9e10-4284-b5dc-7b5a554dfe26_gdc_realn_rehead,50451894,455992,406454,1908082
3a5d8a5d-4fd2-41b0-ac21-dfa50eab1dcc_gdc_realn_rehead,56949238,895373,558326,1272063
3b50841d-fd1b-4f40-85db-db97403b3411_gdc_realn_rehead,48347857,214350,307160,892813
3d2b7c58-6ae8-4199-8782-b4c37b52e757_gdc_realn_rehead,43278345,273132,409208,754836
3d44d6c3-5dcf-42ee-8ebe-dcdaad30493c_gdc_realn_rehead,93818647,7260391,819214,1184612
3e37a585-683d-4c2d-818f-67cb53da7a37_gdc_realn_rehead,78214440,772866,531126,1229222
3e393ba2-b0bb-47aa-80e3-eb78214a3e54_gdc_realn_rehead,66592165,817011,668318,1341932
3ebcd3bb-9188-4c03-a6db-f4b8d191f0f2_gdc_realn_rehead,88596647,392896,728225,1656421
3efc7114-c5a2-4bb6-b6bf-02fafc3573f6_gdc_realn_rehead,68993751,463580,339153,1248584
3f27519d-4cb0-4427-b90e-4b3ed890649c_gdc_realn_rehead,71869303,880775,537608,13719092
3f53a71c-e0a7-442f-92da-4e74f5c84581_gdc_realn_rehead,49834042,196006,598643,1708909
3f574e31-db95-4199-826c-c2f5b1e4332b_gdc_realn_rehead,43537363,116108,399158,1020490
3f612e90-0fe9-4c7c-a686-247472cfe4e2_gdc_realn_rehead,86791924,343326,618811,1421230
3f88026f-3beb-4805-85aa-65b5e5909b64_gdc_realn_rehead,59602713,775492,482448,1116265
3fba503a-4c2f-4909-a094-a9c4882afee5_gdc_realn_rehead,52407677,231912,362986,803383
4023042c-409b-433f-9c43-c719736a55ba_gdc_realn_rehead,64406125,492267,708749,1453009
41481131-9b42-47bb-9f05-879007ad423c_gdc_realn_rehead,83514927,448126,798451,1874029
418985cf-3f58-4673-9303-961204e7c470_gdc_realn_rehead,77758408,483146,448176,1479245
4253cc98-350d-4c54-a98c-113d15cf6381_gdc_realn_rehead,32579024,716620,290335,675574
426159a8-d17a-4770-91ac-578ecdf46b8d_gdc_realn_rehead,62758418,852469,495135,1582325
42722360-9f14-453c-851e-aadc068affcc_gdc_realn_rehead,98444514,1982173,427829,3485846
42da1d41-a034-4c87-af13-615a6d94d0bb_gdc_realn_rehead,100814127,1774836,645915,1913226
42de85be-ae4e-47c9-97d9-1b92f1f4569a_gdc_realn_rehead,48541676,273121,412923,1411613
4340a3f4-4b56-432a-949a-655b5f74c2f7_gdc_realn_rehead,45926773,112430,365937,1094113
43e6a77d-38e0-46b9-9040-e016ebcb6896_gdc_realn_rehead,61121137,398688,502563,2182532
442b5275-5bf5-439b-9b82-2a2f49ede40e_gdc_realn_rehead,84114511,1479726,836254,2026395
4487bf18-eeee-41bd-a6e8-ae859042feda_gdc_realn_rehead,123985562,1559600,1208164,2534865
44923b77-7082-4567-9712-1f05207b94d6_gdc_realn_rehead,78699556,619004,634179,1655011
44ab1da4-a195-4f76-a012-393e3fdb5611_gdc_realn_rehead,34805087,1794391,293077,616623
455a3e8d-2074-41af-b082-0fbede72aeea_gdc_realn_rehead,50352870,391682,329407,849842
4585dd6a-7829-4919-8b36-25d94983144c_gdc_realn_rehead,93014302,1131393,533492,1166473
45d24c12-1c69-4b02-8ba2-290a11857a02_gdc_realn_rehead,98090382,596329,399296,4014402
45e0344b-87be-4fe9-b4fc-241bde6bbf4f_gdc_realn_rehead,56915774,179420,357428,1151891
45e61125-c532-4188-85bc-847258e516ed_gdc_realn_rehead,95876589,390731,613247,1397594
4710fc26-1185-4436-b315-db0380bd9080_gdc_realn_rehead,35086601,134570,288713,569923
4741c9f3-fed1-46ca-836b-264bdb905e89_gdc_realn_rehead,43141766,198760,337266,863858
47cea585-0a27-424c-a716-69df89183ca4_gdc_realn_rehead,80840609,905593,538090,1079748
47f72c27-1e68-46f1-8df8-8dcf698f058e_gdc_realn_rehead,50888133,629937,520609,1486876
495752ac-1048-48c3-9791-623dbd116a1a_gdc_realn_rehead,40550999,179624,322828,837616
49ba6931-e906-45e7-9701-9f2b0b6e4df4_gdc_realn_rehead,42080713,156324,376877,596088
4a1266ef-4c35-48ce-ad81-2bb25f773ac9_gdc_realn_rehead,36643173,114749,205818,394008
4a32cc85-9d19-454f-8bcd-ca1328ed5be3_gdc_realn_rehead,98865949,3521332,986063,3985774
4aa332e6-b4ab-4f56-be49-e8170c64447c_gdc_realn_rehead,66000820,596841,481597,1317217
4ad8a50e-5048-4c11-b2b3-4c67c0a4dbe7_gdc_realn_rehead,82752512,717985,1285735,3580192
4b71505f-f386-434f-9d99-a0741ae09ae2_gdc_realn_rehead,56333009,372434,834811,2025721
4c09855d-67c2-46ea-83dc-af80ec3dfeee_gdc_realn_rehead,65815768,793982,794687,2657787
4c38482a-1651-4e55-816e-acb01999a202_gdc_realn_rehead,54277535,232300,320442,593719
4c60278c-54a5-4b8c-9ae6-c8cdd5c9ddc0_gdc_realn_rehead,29513103,223172,181960,421032
4d8bf6c2-5bfa-4ac3-945b-52522a7a0cf9_gdc_realn_rehead,102617355,8398995,633481,1462997
4f4a304b-0e65-467e-b07e-155c528ceb15_gdc_realn_rehead,77691520,231622,750106,3717090
4f65e591-fba3-41aa-898f-f9a4fbd7a456_gdc_realn_rehead,60041807,539299,410183,2010281
50b6aa8d-3938-4299-9da3-d518d4d3fc19_gdc_realn_rehead,43864322,82178,432740,545500
5184a284-2486-4c21-acdd-b52e3b3d014f_gdc_realn_rehead,51147820,434310,558418,1150535
51ccb3d6-e0d2-4729-991e-46809c28a463_gdc_realn_rehead,29696848,151908,224191,751891
53043feb-0213-4b53-8204-4e6905768234_gdc_realn_rehead,68967378,747696,341926,855442
53d5d566-f294-448b-ac48-6ffa2ba333b0_gdc_realn_rehead,42236914,117133,488780,720417
54062cc8-47ba-45da-8b3f-ad5cd845d3e5_gdc_realn_rehead,39097467,492217,283284,1141323
54c0e424-f5cf-4fc9-8891-ab8ee8c10a8d_gdc_realn_rehead,46139120,171138,375826,841076
553fc948-c34d-4a39-ba90-007f43c989f7_gdc_realn_rehead,55034803,365526,516303,1319755
55427b1d-4160-45fd-a5d4-a72d724e87b4_gdc_realn_rehead,114006615,2824359,811030,1689699
556e63fa-344b-4b8f-aeca-cd0bc66370d2_gdc_realn_rehead,50998495,291654,346641,778381
55878010-15f1-473e-9361-cf31e1780675_gdc_realn_rehead,68045649,484511,544962,2575831
56466297-cbb3-4015-b7e5-5dc386bafaee_gdc_realn_rehead,71099596,303065,762984,2913967
56885fdf-ae09-4478-be99-81bd282715eb_gdc_realn_rehead,76181588,321126,548985,1464461
56b0a104-b20b-4d56-b70d-2e8b925ad37b_gdc_realn_rehead,46843995,382941,557591,1420324
570f3779-f38b-46f0-a3bb-c8b4e7a97291_gdc_realn_rehead,43791858,495989,320304,741888
5735edb0-5df0-4425-b5db-614e94f1e2db_gdc_realn_rehead,48114428,157059,407441,1234724
